name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total
The Little Gym of Seattle at Maple Leaf,Attraction,"8830 Roosevelt Way NE, Seattle, WA 98115, USA",47.69293159999999,-122.3173054,ChIJLR3ryQoUkFQRZb7_-EVfdXI,establishment|gym|health|point_of_interest|school,4.9,206
The Little Gym of Seattle at Interbay,Attraction,"2213 15th Ave W, Seattle, WA 98119, USA",47.6390628,-122.3765715,ChIJ4yeX03YVkFQRdaIkZJza8Ps,establishment|gym|health|point_of_interest|school,4.9,152
Seattle Gymnastics Academy - Ballard,Attraction,"1415 NW 52nd St, Seattle, WA 98107, USA",47.66618219999999,-122.3747906,ChIJDcas-sYVkFQRV580ZJati0U,establishment|gym|health|point_of_interest,4.4,53
Seattle Gymnastics Academy - Columbia City,Attraction,"5034 37th Ave S #200, Seattle, WA 98118, USA",47.556159,-122.2860065,ChIJmw2HpQ5qkFQRI-haE0E6xKY,establishment|gym|health|point_of_interest,3.5,62
The Little Gym of West Seattle,Attraction,"7025 California Ave SW, Seattle, WA 98136, USA",47.5400437,-122.387519,ChIJu3AhxBdBkFQRmlfYVAuAI60,establishment|gym|health|point_of_interest|school,5,178
Seattle Athletic Club,Attraction,"2020 Western Ave, Seattle, WA 98121, USA",47.6108856,-122.3440399,ChIJxRG0N00VkFQRDKdpTdUwLtc,establishment|gym|health|point_of_interest,4.3,166
Yesler Community Center,Attraction,"917 E Yesler Wy, Seattle, WA 98122, USA",47.60151,-122.320222,ChIJRbDI17hqkFQRJxdIHdse8To,establishment|point_of_interest,4.3,293
My Gym Bellevue Children's Fitness Center,Attraction,"4070 148th Ave NE, Redmond, WA 98052, USA",47.6467596,-122.1407742,ChIJ3R49_7ltkFQRtUh9KBMflUs,establishment|gym|health|point_of_interest|school,4.5,69
Miller Community Center,Attraction,"330 19th Ave E, Seattle, WA 98112, USA",47.6217681,-122.306964,ChIJAZpvKdVqkFQRFoUYHG8OkiA,establishment|point_of_interest,4.4,212
Jefferson Community Center,Attraction,"3801 Beacon Ave S, Seattle, WA 98108, USA",47.5696993,-122.3079517,ChIJWR7wZXhqkFQR2chT-PFZQ4A,establishment|point_of_interest,4.6,189
Seattle Gymnastics Academy - Lake City,Attraction,"12535 26th Ave NE, Seattle, WA 98125, USA",47.7204539,-122.3007743,ChIJDYYZpmURkFQRyXjZzdm37UQ,establishment|gym|health|point_of_interest,4.4,41
Pratt Park & Spraypark,Park,"201 20th Ave S, Seattle, WA 98144, USA",47.60071929999999,-122.3074558,ChIJPZQO6sFqkFQR9sQMLDZHT0A,establishment|park|point_of_interest,4.3,277
Northacres Park,Park,"12718 1st Ave NE, Seattle, WA 98125, USA",47.721789,-122.327208,ChIJdcvKyEYRkFQRem886FnPXYU,establishment|park|point_of_interest,4.4,706
Lake Union Spraypark,Park,"Valley Street and, 860 Terry Ave N, Seattle, WA 98109, USA",47.6263572,-122.3376545,ChIJ_7dCvikVkFQRwsx0KVu5QmU,amusement_park|establishment|park|point_of_interest,4.3,15
Northacres Spraypark,Park,"12718 1st Ave NE, Seattle, WA 98125, USA",47.7220698,-122.3285167,ChIJ-9R9IEcRkFQRJAj04ZeaFQc,amusement_park|establishment|point_of_interest,4.6,192
East Queen Anne Playground & Wading Pool,Park,"1912 Warren Ave N, Seattle, WA 98109, USA",47.6360295,-122.3539233,ChIJPXQ0oxMVkFQR9thd41WTvr8,establishment|park|point_of_interest,4.5,171
Fritz Hedges Waterway Park,Park,"1117 NE Boat St, Seattle, WA 98105, USA",47.6520661,-122.3159908,ChIJZVlrjM8VkFQRZxEyEgaphVY,establishment|park|point_of_interest,4.8,179
Spraypark,Park,"1100 SW Cloverdale St, Seattle, WA 98106, USA",47.527037,-122.3495613,ChIJdRejBgBBkFQRZfWy8KzLJcE,amusement_park|establishment|point_of_interest,5,5
Wallingford Playfield Wading Pool,Park,"4219 Wallingford Ave N, Seattle, WA 98103, USA",47.65895039999999,-122.3365341,ChIJuc7GVFYUkFQR7XwqdkbaH_k,amusement_park|establishment|point_of_interest,4.5,41
Volunteer Park Wading Pool,Park,"1417 E Highland Dr, Seattle, WA 98112, USA",47.6320702,-122.3139396,ChIJJ4Db0JEVkFQRXNJ85gjHRlM,amusement_park|establishment|point_of_interest,4.4,19
Waterfall Garden,Park,"219 2nd Ave S, Seattle, WA 98104, USA",47.6002312,-122.3320588,ChIJteupenNrkFQR9Af94utuQOY,establishment|park|point_of_interest,4.6,1196
Crossroads Water Spray Playground,Park,"999 164th Ave NE, Bellevue, WA 98008, USA",47.6175114,-122.1229063,ChIJT7TSErltkFQRvAYJ2VXHPHs,establishment|point_of_interest|tourist_attraction,4.6,963
"John C. Little, Sr. Park",Park,"6961 37th Ave S, Seattle, WA 98118, USA",47.5396393,-122.2866612,ChIJDSYHFQJCkFQROpHMyn48ICY,establishment|park|point_of_interest,4.3,143
View Ridge Playfield Wading Pool,Park,"4408 NE 70th St, Seattle, WA 98115, USA",47.6798516,-122.2812542,ChIJMwtcUJsTkFQRSMt2Em6AG0M,amusement_park|establishment|point_of_interest,3.9,15
Spraypark,Park,"Seattle, WA 98104, USA",47.601399,-122.3208772,ChIJV4cMWgBrkFQRwMKdeD3rh3A,amusement_park|establishment|point_of_interest,5,1
Ron K. Bills Spraypark,Park,"300 19th Ave E, Seattle, WA 98112, USA",47.62154169999999,-122.3066071,ChIJX0nBMdVqkFQRhENm2qMXt70,amusement_park|establishment|point_of_interest,4.3,9
